Scoop up water	㧾水
Electrical plug of TV set	電視機插蘇
Tell me in advance	預早話我知
The first train leaves at 6 o'clock	頭車開六點
Let's eat first and then talk	食完先至講
Eat as much as you can and don't waste any food	食得唔好嘥
Hey suck my dick!	食蕉啦你！
Discarded chewing gum	香口膠污漬
Hong Kong Golden Retriever Club	香港金毛會
How the hell should I know who he is?	鬼識佢呀？
Like hell I'll love him!	鬼鍾意佢？
Fresh lime soda	鮮青檸梳打
I'm a little bit hungry	麻麻哋肚餓
Give him a slap	𢫏佢一巴掌
It's not permitted to touch it	𢭃吓都唔得
Give me some candy	𢭃啲糖畀我
Scoop up some rice and give it to him	𢳂啲飯畀佢
It caught fire with a big loud noise	𥔿𥔿聲着火
No! I'm not going!	㖿！我唔去！
That's exactly right!	一定冇錯喇！
There are so many people!	人咁鬼死多！
Where are you going this morning?	今朝去邊啊？
The shirt fits you perfectly!	件衫弗晒你！
Waiter, could I have the bill?	伙記，埋單！
Where did you live?	你住邊頭㗎？
You go first, okay?	你去先啦吓！
Shut up for me.	你同我收聲。
Shut up for me!	你同我收聲！
Don't you talk nonsense!	你咪亂噏啊！
Could you all first talk about it a bit?	你哋傾吓先？
Don't you be partial to her.	你唔好𧶄佢。
Don't set a trap for me.	你唔好𨃩我。
If you don't eat, then it doesn't matter.	你唔食算數。
Do buy it for me, won't you?	你幫我買呢？
Hey, when will you arrive?	你幾時到㗎？
When are you coming back?	你幾時返啊？
What trade do you work in, or What's your occupation?	你撈邊行㗎？
You are dressed up so prettily.	你撚到咁靚。
Do you understand?	你明唔明啊？
You are slightly crazy.	你有啲神經。
How much do you weigh?	你有幾重啊？
Your trousers are worn out.	你條褲爛咗。
Your button has fallen off.	你粒鈕甩咗。
You were fat when you were young.	你細時好肥。
Where are you walking to?	你行去邊啊？
The lower hem of your shirt is worn out.	你衫腳爛咗。
You need to see it more clearly.	你要睇真啲。
You need to buy some soy sauce.	你要買豉油。
Which one do you want?	你要邊隻啊？
So do you know how to do Chinese medical treatment?	你識睇脈咩？
What's your problem?	你黐咩筋啊？
You're crazy!	你黐總掣㗎！
Why are you talking such damn bullshit?	你𨳊話做乜？
What is it you're tucking into?	你𩟔乜嘢啊？
He does whatever comes into his head.	佢乜嘢都制。
He is fifty-some years old.	佢五張幾嘢。
Hasn't she been in labor yet?	佢仲未蘇呀？
He is standing over there.	佢企喺嗰度。
He's a scoundrel.	佢係個惡霸。
He is a rich man, or He is a spendthrift.	佢係個闊佬。
He is someone with big feet.	佢係大腳八。
She is my younger sister.	佢係我個妹。
Who is she?	佢係邊個啊？
His mouth is very big.	佢個口好大。
His daughter is very pretty.	佢個女好靚。
Her butt is very big.	佢個躉幾大。
He worked damn hard!	佢做到仆街！
She worked till she was completely exhausted.	佢做到嘔電。
He has worked himself half-dead.	佢做到甩肺。
She did it very well.	佢做得好好。
He doesn't have any opinion.	佢冇乜意見。
She hasn't stolen anything!	佢冇偷嘢啊！
He's not as smart as I am.	佢冇我咁叻。
What is her name?	佢叫乜嘢名？
His kick was quite forceful.	佢呢腳好勁。
He took a bite of me, or He bit me.	佢咬我一啖。
They celebrate the last semimonthly offering day in the Ch. lunar year.	佢哋做尾牙。
They have endured for a long time.	佢哋有排捱。
They are unable to escape.	佢哋走唔甩。
They are also not going.	佢哋都唔去。
They use heroin, or They inhale heroin.	佢哋食白粉。
He doesn't need to feign ignorance.	佢唔使詐傻。
He is not a teacher.	佢唔係老師。
He won't reduce the price.	佢唔會減價。
He doesn't understand Chinese.	佢唔識中文。
He doesn't know how to repair automobiles.	佢唔識整車。
Her singing caused the microphone to malfunction.	佢唱到爆咪。
She holds a cigarette in her mouth.	佢啗住口煙。
He is always ready to cry.	佢喐親就喊。
He closes one eye.	佢單起隻眼。
She took a puff on her cigarette.	佢嗍咗啖煙。
He wastes lots of money.	佢嘥好多錢。
He has lots of money.	佢大把銀紙。
She is quite ticklish.	佢好怕揤嘅。
He's got quite the reasoning ability.	佢好有諗頭。
He is critical about this and that.	佢嫌呢嫌咾。
He's extremely stingy.	佢孤寒過頭。
She carries the baby on her back as she walks on the street.	佢孭仔行街。
He left only a short while ago.	佢就至走咗。
She sews clothes for me.	佢幫我聯衫。
When will he leave?	佢幾時扯啊？
He's terribly evil.	佢惡得交關。
He wants to learn how to work with wood.	佢想學抖木。
He didn't sleep the whole night.	佢成晚冇瞓。
His whole body has the smell of wine.	佢成身酒𡃴。
He put up a flag.	佢戙起枝旗。
The palm of his hand is very fat.	佢手板好厚。
He works as a civil servant.	佢打政府工。
He played tricks on others by pretending to be a ghost.	佢扮鬼撚人。
She really knows how to talk and talk.	佢把嘴真㗲。
He pulled up his trousers.	佢抽吓條褲。
It's swinging this way and that.	佢捹嚟捹去。
Is he capable of handling the matter?	佢掂唔掂㗎？
He pulls out a gun to bully people.	佢掹炮蝦人。
He covers his mouth and snickers.	佢揞嘴偷笑。
He hit the glass and broke it into pieces.	佢搉爛玻璃。
He vented his anger on me.	佢搵我出氣。
He raised up his eyes, or He glanced up.	佢摵起對眼。
He is having cooked rice mixed with sauce left over from a main course.	佢撈汁食飯。
He is sitting with his legs spread wide apart.	佢擘晒髀坐。
She curls up her body to sleep.	佢攣埋身瞓。
He receives a high salary.	佢收入不菲。
He broke it into two pieces.	佢斷成兩橛。
She has become pregnant.	佢有咗身紀。
He's rather drunk.	佢有啲醉意。
He has long sideburns.	佢有大滴水。
He has made a phone call.	佢有打電話。
He has a brilliant scheme.	佢有條絕橋。
She has an asymmetrical face.	佢有鴛鴦面。
She enjoys a cup of coffee.	佢歎杯咖啡。
He's really no good.	佢正一衰神。
She cooked the vegetables by scalding them.	佢淥熟啲菜。
He flirts with girls the best.	佢溝女最掂。
Boil the clothes to sterilize them.	佢烚吓啲衫。
She cooks a casserole pot of soup.	佢煲一𦉘湯。
He has uncovered an inside story.	佢爆咗內幕。
He was buried yesterday.	佢琴日上山。
How does she look?	佢生得點啊？
He opens his eyes wide.	佢睩大隻眼。
He slept quite soundly.	佢瞓到好𡀝。
He slept like a log.	佢瞓得好𡀝。
He was laughing really happily.	佢笑到碌地。
He has left already.	佢經已走咗。
His ears are very big.	佢耳仔幾大。
He's quite superb at English.	佢英文好勁。
He walks into the room.	佢行入間房。
He walks very quickly.	佢行得好快。
He has been in jail twice.	佢衰過兩次。
He needs to go have his temperature taken.	佢要去探熱。
She has to be in jail for ten years.	佢要踎十年。
He said anything is all right.	佢話乜都得。
He said he's coming.	佢話嚟緊喎。
He talks incessantly about this and that.	佢講呢講咾。
He talks incessantly.	佢講呢講咾。
The things he says are too rude and blunt.	佢講嘢太倔。
His academic performance is quite bad.	佢讀書好喳。
He bought a piece of land.	佢買咗笪地。
He is stuffed with information.	佢資訊爆炸。
He ran with all his might.	佢起勢噉跑。
He has run away!	佢趯咗更咯！
Her figure is svelte and graceful.	佢身材瀟湘。
She earns a living by sewing clothes.	佢車衣搵食。
She earns a living by sewing clothes.	佢車衫搵食。
He likes to wear a necktie.	佢鍾意打𧘹。
Her hair is quite fine.	佢頭髮好幼。
He humbly begged me for help.	佢𠱓我幫手。
She makes a face to show her contempt.	佢𠴕唇𠴕舌。
He pounds his waist.	佢𢱕吓條腰。
She ladles out the food from the dish and gives it to me.	佢𢳂餸畀我。
She bolts up the door.	佢𣘚番度門。
He slipped and fell to the ground.	佢𨃩咗落地。
He kicks open the door.	佢𨅝開度門。
He's failed so badly it makes me laugh.	佢𨳍到甩轆。
Is it really so?	係唔係㗎啫？
All of you get out of here!	冚巴唥出去！
All of you get out of here!	冚𠾴唥出去！
For heaven's sake be careful!	千祈要小心！
Get out of here at once and leave me alone!	即刻同我躝！
Could you massage my muscles a bit?	同我揸揸骨？
Don't be so gossipy!	咪咁八卦啦！
Don't tell him!	咪講畀佢聽！
Don't act irresponsibly and behave yourself!	唔好亂嚟啊！
Don't tell lies like that!	唔好呃人噉！
Don't do it like that!	唔好咁做喎！
Don't be so impatient!	唔好咁喉急！
Don't talk like that!	唔好咁講啦！
Don't scare me!	唔好嚇我啊！
Don't make fun of me!	唔好瘀我啦！
Don't smoke, okay?	唔好食煙噃！
Don't push him down!	唔好𡃵倒佢！
Bah! Don't talk nonsense!	啋！咪亂噏！
The rain is so extremely heavy!	啲雨鬼咁大！
How long is that snake?	嗰蔸蛇幾長？
Wow! What a good deal!	嘩！咁平嘅！
Wow! It's marvelous!	嘩！好犀利！
That's all there is to it, it's so easy!	噉唔係得囉？
Hey! I don't like this!	嚱！我唔制！
It's time to go to class!	夠鐘上堂啦！
It's just that much!	就係咁多喇！
Give me a phone call when you are free!	得閒𠹭我吖！
Quickly stand up!	快啲企起嚟！
Quickly stand up!	快啲企起身！
Hurry up and go fight them!	快啲去喐手！
I fell on the ground.	我仆喺地下。
I have a bad headache.	我個頭好瘌。
I'm in the rice business.	我做米行嘅。
I'm not as tall as you are.	我冇你咁高。
I didn't see him.	我冇睇到佢。
I was shivering with cold.	我凍到打震。
I will retire next year.	我出年退休。
I guarantee you will have no troubles.	我包你冇事。
Let me go ask him about it.	我去問吓佢。
We come from the same rural district.	我哋係鄉里。
We endure life.	我哋捱世界。
We need to chop firewood.	我哋要破柴。
We are pressed for time.	我哋趕時候。
I don't need to carry a pistol.	我唔使陀鐵。
I really don't want to go.	我唔想去咧。
I don't want that much.	我唔愛咁多。
I can't get away.	我唔行得開。
I don't know how to dance.	我唔識跳舞。
I just now arrived.	我啱啱到喇。
I can drink a lot.	我好飲得㗎。
I want to go roller-skating.	我想去溜冰。
I want to strangle him.	我想撚死佢。
I want to cook some late night snacks.	我想煮宵夜。
I want to buy that one.	我想買嗰個。
I want to buy an umbrella.	我想買把遮。
I want to have a party.	我想開啪T。
I want to fast-forward the tape first.	我想飛帶先。
I'm feeling around with my hand in the bird's nest.	我扲雀仔竇。
I will tell her.	我會話佢知。
I own an apartment and collect rent from it.	我有樓收租。
I always win in gambling and never lose money.	我有殺冇賠。
I've got a hundred ten dollars.	我有百一蚊。
I have never heard of it.	我未聽講過。
My automobile is even more expensive.	我架車仲貴。
I'm saving as much money as I can.	我死慳死抵。
I scalded and injured my hand.	我淥親隻手。
I give her a kiss.	我疼佢一啖。
I was experiencing severe pain.	我痛到碌地。
My skin is quite rough and dry.	我皮膚好嚡。
I read it till I was bored.	我睇到悶喇。
I need to catch my breath first for a bit.	我要唞吓先。
I say it's not true!	我話唔係喎！
I know your father.	我識你老豆。
I couldn't come up with a neat plan.	我都冇計仔。
I gave him a kiss.	我錫佢一啖。
I gave him a kiss.	我鍚佢一啖。
I have a stiff neck and feel pain in my shoulders.	我頸梗膊痛。
Give him a slap across his face!	整巴佢歎吓！
The girl is very annoying and bad-tempered!	條女好港啊！
Turn off the light!	熄咗盞燈佢！
Could you let me take a look at it?	畀我睇吓呢？
It's really well done!	真係好嘢噃！
It really pissed me off!	真係激死人！
Could I have the bill, please?	睇數，唔該？
Do you think being the boss means he is the top dog?	老細大晒咩？
Whatever happens I must get ahead!	老西都要升！
It's very stuffy inside the automobile!	車入便好焗！
Who said that?	邊個噉話啊？
If you like it, then why don't you just buy it?	鍾意咪買囉？
How should I address you?	點稱呼你啊？
This film is so boring!	齣戲咁悶嘅！
Baby, eat your pureed food.	BB，食𩜠𩜠。
Miss Linda.	Linda姐。
To eat a dish by sharing it with another person.	一碟餸兩份食。
Three oranges cost ten dollars.	三個橙賣十蚊。
The three of them are also teachers.	三個都係老師。
Three-seater sofabed.	三座位梳化牀。
Three minus one equals two.	三減一等如二。
Central District elevated walkway.	中區行人天橋。
Danish butter cookie.	丹麥牛油曲奇。
Why are you so smutty?	乜你咁三級㗎？
What, you don't know it either?	乜你都唔知呀？
How come you have such a bad temper?	乜咁大火氣啊？
So what's the big deal about it?	乜嘢咁有寶啊？
It's colder this year than last.	今年凍過舊年。
This year is an auspicious year.	今年時年唔錯。
There are a few more people today.	今日人多咗啲。
The sun did not come out today.	今日冇出日頭。
Today it's cold and other things are annoying too.	今日又凍又盛。
How come you spend your money so generously today?	今日咁闊佬啊？
Today the weather is colder.	今日天氣凍啲。
The weather is warm today.	今日天氣和暖。
